name,price,multiplier
Laptop,130000,4
Lasso,300000,2
Law Degree,7000000,1
Life Saver,120000,5
Like Button,1400000,1
Literally Karen,14000000,1
Literally a Tree,4800000,1
Lotus Flower,2600000,1
Lotus Seeds,4800000,1
Lucky Horseshoe,300000,2
Margaux's Doll,9000000,1
Melmsie's Banana,INQUIRE,0
Melmsie's Beard,16000000,1
Membership Box,32000000,1
Membership Pack,9400000,1
Meme Box,1100000,1
Meme pills,1200000,1
Menorah,3900000,1
Meridian's Croc,14000000,1
Message In a Bottle,7000000,1
Metal Pipe,1500000,1
Meteorite,1100000,1
Microphone,3400000,1
Mistletoe,2000000,1
Mole Man,250000,2
Motivational Poster,14000000,1
Mouse,50000,10
Multi Colored Plastic Bits,200000,3
Musical Note,6000000,1
New Player Pack,1100000,1
New Years Popper,40000,13
Normie Box,1000000,1
Odd Eye,56000000,1
Old Box,9000000,1
Old Cowboy Revolver,1300000,1
Old Shell,210000,3
Orange Plastic Bits,140000,4
Ornament,600000,1
Out West Adventure Box,1800000,1
Padlock,10000,50
Pepe Box,7700000,1
Pepe Coin,900000,1
Pepe Crown,28000000,1
Pepe Medal,3100000,1
Pepe Ribbon,INQUIRE,0
Pepe Ring,16000000,1
Pepe Statue,90000,6
Pepe Sus,INQUIRE,0
Pepe Trophy,9000000,1
Pet Collar,10000000,1
Pet Feces,80000,7
Pet Feeder,50000000,1
Pet Food,210000,3
Pet Saddle,300000,2
Pink Rubber Ducky,INQUIRE,0
Pink Sludge Monster,590000,1
Pirate Hat,3000000,1
Pizza Slice,510000,1
Plastic Bag,2100000,1
Plastic Box,6800000,1
Police Badge,1800000,1
Postcard,1600000,1
Potato,40000,13
Potato Seeds,40000,13
Prestige Coin,1800000,1
Prestige Pack,7000000,1
Prismatic Delight,50000000,1
Purple Plastic Bits,250000,2
Puzzle Key,INQUIRE,0
Rabbit,10000,50
Rare Butterfly,10000000,1
Rare Pepe,30000,17
Reversal Card,26000000,1
Ring Light,9000000,1
Robbers Mask,6600000,1
Robbers Wishlist,250000,2
Royal Scepter,5100000,1
Rusty Machine,40000000,1
Samuel's Book,9000000,1
Sanic Hot Dog,700000,1
Santa's Bag,8200000,1
Santa's Hat,470000,2
School Urinal,6000000,1
Seaweed,570000,1
Shooting Star,3700000,1
Shop Coupon,1600000,1
Shovel,10000,50
Shredded Cheese,390000,2
Skunk,10000,50
Snowball,700000,1
Snowflake,240000,3
Soggy Boots,530000,1
Soggy Plant Clump,290000,2
Sound Card,33000000,1
Space Adventure Box,1900000,1
Spider,170000,3
Spooky Mask,14000000,1
Squishy Paw,4200000,1
Stack of Cash,2300000,1
Star Fragment,2200000,1
Stickbug,30000,17
Stolen Amulet,3900000,1
Stonk Coin,66000000,1
Stonk Machine,13000000,1
Strawberry Shake,6000000,1
Streak Freeze,2300000,1
Sugar Skull,20000000,1
Sunbear's D20,78000000,1
Sunken Treasure,2200000,1
Tentacled Temptation,26000000,1
The Letter,16000000,1
The Megaphone,15000000,1
Thrym's Leash,UNAVAILABLE,0
Tidepod,150000,4
Tip Jar,7700000,1
Toilet Paper,5900000,1
Tool Box,7000000,1
Townie's Eyes,14000000,1
Trash,4800000,1
Treasure Map,2000000,1
Tumbleweed,300000,2
Universe Box,INQUIRE,0
Used Diaper,2600000,1
Vaccine,8000000,1
Voodoo Doll,19000000,1
Vote Pack,720000,1
Water Bucket,60000,9
Watering Can,50000,10
Waterlogged Log,360000,2
Watermelon,360000,2
Watermelon Seeds,320000,2
Wedding Gift,7000000,1
Weet's Donut,7000000,1
Winning Lottery Ticket,22000000,1
Work Box,7200000,1
Worm,10000,50
Zara's Pirate Sword,21000000,1
Zig's Capybara,300000,2
ZomB's ZomBee,7000000,1
